Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number	Number_uncertain	Number_with_conflicts
TRIM16L	147166	142	141	-	-	-	37	0
TRIM17	51127	79	78	33	-	606123	28	0
TRIM2	23321	551	494	516	4	614141	220	4
TRIM21	6737	54	54	22	-	109092	24	0
TRIM22	10346	61	58	39	-	606559	23	0
TRIM23	373	38	38	19	-	601747	23	0
TRIM24	8805	87	87	42	1	603406	41	0
TRIM25	7706	44	44	34	-	600453	28	0
TRIM26	7726	32	32	24	-	600830	22	0
TRIM27	5987	23	23	16	-	602165	18	0
TRIM28	10155	138	106	127	2	601742	46	0
TRIM29	23650	99	94	57	-	610658	61	0
TRIM3	10612	49	47	28	-	605493	29	1
TRIM31	11074	48	45	39	-	609316	23	3
TRIM31-AS1	104533120	33	30	-	-	-	15	0
TRIM32	22954	1269	749	1186	62	602290	391	47
TRIM33	51592	46	46	33	-	605769	27	0
TRIM34	53840	24	24	-	-	605684	6	0
TRIM35	23087	126	126	45	-	617007	46	0
TRIM36	55521	93	91	65	1	609317	48	0
TRIM37	4591	895	761	856	113	605073	184	18
TRIM38	10475	34	34	24	-	-	29	0
TRIM39	56658	15	15	8	-	605700	5	0
TRIM39-RPP21	202658	16	16	1	-	-	6	0
TRIM4	89122	63	63	35	-	-	39	0
TRIM40	135644	23	23	15	-	616976	12	0
TRIM41	90933	78	78	46	-	610530	54	0
TRIM42	287015	76	76	50	-	620334	50	0
TRIM43	129868	39	38	15	-	-	23	0
TRIM43B	653192	33	32	6	-	-	18	0
TRIM44	54765	47	47	27	2	612298	26	0
TRIM45	80263	43	43	31	-	609318	29	0
TRIM46	80128	52	48	31	-	600986	35	0
TRIM47	91107	67	67	49	-	611041	52	0
TRIM48	79097	39	39	26	-	-	28	0
TRIM49	57093	55	55	28	-	606124	33	0
TRIM49B	283116	50	50	38	-	-	35	0
TRIM49C	642612	53	53	26	-	-	28	0
TRIM49D1	399939	36	36	9	-	-	13	0
TRIM49D2	729384	28	28	1	-	-	7	0
TRIM5	85363	80	80	38	-	608487	46	0
TRIM50	135892	197	197	56	6	612548	61	0
TRIM51	84767	46	46	28	-	-	31	0
TRIM51G	120824	4	4	-	-	-	2	0
TRIM52	84851	47	47	16	3	619265	24	0
TRIM52-AS1	100507602	10	10	-	4	619266	2	0
TRIM54	57159	62	53	43	-	606474	30	1
TRIM55	84675	74	72	46	1	606469	30	1
TRIM56	81844	84	84	58	-	616996	57	0
TRIM58	25893	122	120	26	-	620527	37	0
TRIM59	286827	56	56	34	-	616148	34	0
TRIM59-IFT80	100174949	880	715	-	46	-	386	0
TRIM6	117854	42	42	19	-	607564	21	0
TRIM60	166655	63	63	14	-	619416	20	0
TRIM61	391712	70	70	17	-	619417	25	0
TRIM62	55223	38	38	28	-	616755	23	0
TRIM63	84676	142	93	134	2	606131	44	5
TRIM64	120146	39	39	12	-	-	18	0
TRIM64B	642446	56	56	29	-	-	35	0
TRIM64C	646754	53	53	40	-	-	41	0
TRIM65	201292	73	73	54	-	619408	54	0
TRIM66	9866	102	101	84	1	612000	75	1
TRIM67	440730	91	88	40	-	610584	50	0
TRIM67-AS1	149373	20	20	-	-	-	5	0
TRIM68	55128	74	74	46	-	613184	47	0
TRIM69	140691	66	65	44	-	616017	48	0
TRIM7	81786	67	67	34	-	609315	47	0
TRIM7-AS2	105377769	21	21	-	-	-	14	0
TRIM71	131405	88	84	72	5	618570	50	1
TRIM72	493829	64	64	42	-	613288	48	0
TRIM73	375593	33	33	5	-	612549	8	0
TRIM74	378108	26	26	-	-	612550	2	0
TRIM75	391714	18	18	-	-	-	2	0
TRIM77	390231	54	54	32	-	-	35	0
TRIM8	81603	384	342	361	18	606125	127	6
TRIM8-DT	121232369	5	5	-	-	-	-	-
TRIM9	114088	37	37	24	-	606555	29	0
TRIML1	339976	181	181	30	-	-	52	0
TRIML2	205860	175	175	25	-	620480	38	0
TRIO	7204	1779	1397	1656	122	601893	609	22
TRIOBP	11078	1448	896	1415	74	609761	343	43
TRIP10	9322	57	57	48	-	604504	46	0
TRIP11	9321	1251	864	1222	73	604505	357	52
TRIP12	9320	477	433	411	84	604506	219	6
TRIP13	9319	292	270	138	7	604507	43	1
TRIP4	9325	323	257	306	31	604501	86	3
TRIP6	7205	55	55	32	-	602933	33	0
TRIQK	286144	45	45	5	-	-	6	0
TRIR	79002	28	24	2	-	-	6	0
TRIT1	54802	184	134	173	15	617840	55	4
TRK-CTT1-1	100189107	5	5	-	-	-	-	-
TRK-CTT1-2	100189013	4	4	-	-	-	-	-
TRK-CTT2-1	100189198	66	64	-	-	-	4	0
TRK-CTT2-2	100189399	10	10	-	-	-	3	0
TRK-CTT2-3	790966	32	32	-	-	612996	12	0
TRK-CTT2-4	100189110	3	3	-	-	-	1	0
TRK-CTT2-5	100189282	10	10	-	-	-	1	0
TRK-CTT3-1	100189119	10	10	-	-	-	1	0
TRK-CTT4-1	100189062	10	10	-	-	-	1	0
TRK-CTT5-1	100189209	10	10	-	-	-	1	0
TRK-CTT6-1	100188995	23	21	-	-	-	-	-
TRK-CTT7-1	107985760	5	5	-	-	-	-	-
TRK-CTT8-1	100189244	10	10	-	-	-	1	0
TRK-CTT9-1	100189180	22	22	-	-	-	1	0
TRK-TTT1-1	100189125	16	16	-	-	-	1	0
TRK-TTT2-1	100189294	23	23	-	-	-	1	0
TRK-TTT3-1	100189122	2	2	-	-	-	-	-
TRK-TTT3-2	100189425	2	2	-	-	-	-	-
TRK-TTT3-3	100189234	3	3	-	-	-	1	0
TRK-TTT3-5	7206	39	36	-	-	189918	14	0
TRK-TTT4-1	100189053	4	4	-	-	-	1	0
TRK-TTT6-1	100189182	3	3	-	-	-	1	0
TRK-TTT7-1	100189332	3	3	-	-	-	-	-
TRK-TTT8-1	100189098	3	3	-	-	-	-	-
TRK-TTT9-1	100189390	4	4	-	-	-	1	0
TRL-AAG1-1	100189362	10	10	-	-	-	2	0
TRL-AAG1-2	100189273	10	10	-	-	-	2	0
TRL-AAG1-3	100189004	11	11	-	-	-	3	0
TRL-AAG2-1	100189328	10	10	-	-	-	3	0
TRL-AAG2-2	100189202	3	3	-	-	-	1	0
TRL-AAG2-3	7207	26	26	-	-	189932	2	0
TRL-AAG2-4	100189291	39	35	-	-	-	21	0
TRL-AAG3-1	100189169	5	5	-	-	-	1	0
TRL-AAG4-1	100189118	3	3	-	-	-	1	0
TRL-CAA1-1	107987402	3	3	-	-	-	1	0
TRL-CAA1-2	100189237	3	3	-	-	-	1	0
TRL-CAA2-1	100189301	4	4	-	-	-	1	0
TRL-CAA3-1	100189038	4	4	-	-	-	1	0
TRL-CAA4-1	100189199	32	32	-	-	-	-	-
TRL-CAA5-1	100189370	4	4	-	-	-	2	0
TRL-CAA6-1	100189003	7	7	-	-	-	1	0
TRL-CAG1-1	100189394	3	3	-	-	-	-	-
TRL-CAG1-2	100189009	3	3	-	-	-	-	-
TRL-CAG1-3	100189316	3	3	-	-	-	-	-
TRL-CAG1-4	100189364	3	3	-	-	-	-	-
TRL-CAG1-5	100189139	3	3	-	-	-	-	-
TRL-CAG1-6	100189018	5	5	-	-	-	1	0
TRL-CAG1-7	100189288	3	3	-	-	-	1	0
TRL-CAG2-1	100189130	6	6	-	-	-	-	-
TRL-CAG2-2	100189089	6	6	-	-	-	-	-
TRL-TAA1-1	100189313	4	4	-	-	-	-	-
TRL-TAA2-1	100189164	4	4	-	-	-	1	0
TRL-TAA4-1	100189067	3	3	-	-	-	1	0
TRL-TAG1-1	7208	38	35	-	-	189920	14	0
TRL-TAG2-1	100189151	11	11	-	-	-	-	-
TRL-TAG3-1	100189032	39	35	-	-	-	21	0
TRM-CAT1-1	100189201	21	21	-	-	-	-	-
TRM-CAT2-1	100189135	16	16	-	-	-	3	0
TRM-CAT3-1	100189216	3	3	-	-	-	1	0
TRM-CAT3-2	100189111	3	3	-	-	-	1	0
TRM-CAT4-1	100189391	3	3	-	-	-	1	0
TRM-CAT4-2	100189354	3	3	-	-	-	1	0
TRM-CAT4-3	107986682	3	3	-	-	-	1	0
TRM-CAT5-1	100189303	3	3	-	-	-	1	0
TRM-CAT5-2	107986680	3	3	-	-	-	1	0
TRM-CAT6-1	100189226	28	28	-	-	-	5	0
TRM-CAT7-1	100189085	7	7	-	-	-	1	0
TRMO	51531	66	65	28	-	-	28	0
TRMT1	55621	188	158	153	26	611669	80	0
TRMT10A	93587	178	143	158	15	616013	72	3
TRMT10B	158234	99	91	23	-	-	22	0
TRMT10C	54931	77	64	63	2	615423	34	1
TRMT11	60487	54	54	34	1	-	36	0
TRMT112	51504	19	18	6	-	618630	9	0
TRMT12	55039	79	79	23	-	611244	28	0
TRMT13	54482	35	35	22	-	-	26	0
TRMT1L	81627	63	62	36	-	611673	38	0
TRMT2A	27037	441	420	50	-	611151	56	0
TRMT2B	79979	189	182	13	1	-	30	0
TRMT44	152992	155	155	69	-	614309	81	0
TRMT5	57570	284	240	260	2	611023	123	4
TRMT6	51605	52	51	21	-	-	21	0
TRMT61A	115708	69	69	10	-	-	17	0
TRMT61B	55006	69	69	44	-	619404	55	0
TRMT9B	57604	158	158	59	-	615666	64	0
TRMU	55687	1137	824	1048	143	610230	119	45
TRN-GTT1-1	100189126	6	6	-	-	-	1	0
TRN-GTT10-1	107985754	13	13	-	-	-	-	-
TRN-GTT11-1	107985763	1	1	-	-	-	-	-
TRN-GTT12-1	100189356	9	9	-	-	-	-	-
TRN-GTT13-1	100189183	9	9	-	-	-	-	-
TRN-GTT2-1	100189005	59	58	-	-	-	-	-
TRN-GTT2-2	100189402	3	3	-	-	-	-	-
TRN-GTT2-3	100189083	3	3	-	-	-	-	-
TRN-GTT2-4	100189036	22	22	-	-	-	2	0
TRN-GTT2-5	100189176	2	2	-	-	-	-	-
TRN-GTT2-6	100189195	9	9	-	-	-	1	0
TRN-GTT2-7	7214	74	72	-	-	189880	2	0
TRN-GTT2-8	100189127	11	11	-	-	-	1	0
TRN-GTT24-1	107985756	54	52	-	-	-	-	-
TRN-GTT25-1	107985752	2	2	-	-	-	-	-
TRN-GTT27-1	107985750	1	1	-	-	-	-	-
TRN-GTT3-1	100189323	11	11	-	-	-	1	0
TRN-GTT4-1	791226	9	9	-	-	-	-	-
TRN-GTT5-1	107985757	9	9	-	-	-	-	-
TRN-GTT6-1	791227	15	15	-	-	-	-	-
TRN-GTT7-1	107985762	1	1	-	-	-	-	-
TRN-GTT9-1	107985751	42	40	-	-	-	2	0
TRN-GTT9-2	100189193	128	118	-	-	-	1	0
TRNAU1AP	54952	28	28	12	-	619597	19	0
TRNP1	388610	26	26	16	-	616824	19	0
TRNT1	51095	819	677	694	73	612907	292	8
TRO	7216	204	194	66	-	300132	49	2
TROAP	10024	66	66	57	-	603872	51	0
TROAP-AS1	101927267	113	78	-	2	-	41	0
TRP-AGG1-1	100189020	10	10	-	-	-	1	0
TRP-AGG2-1	100189019	6	6	-	-	-	-	-
TRP-AGG2-2	100189223	3	3	-	-	-	1	0
TRP-AGG2-3	100189276	10	10	-	-	-	-	-
TRP-AGG2-4	100189072	3	3	-	-	-	-	-
TRP-AGG2-5	7217	26	26	-	-	189930	2	0
TRP-AGG2-6	7218	26	26	-	-	189931	2	0
TRP-AGG2-7	100189136	10	10	-	-	-	1	0
TRP-AGG2-8	100189296	10	10	-	-	-	1	0
TRP-CGG1-1	100189211	6	6	-	-	-	-	-
TRP-CGG1-2	100189221	10	10	-	-	-	1	0
TRP-CGG1-3	100189124	10	8	-	-	-	1	0
TRP-CGG2-1	100189172	3	3	-	-	-	1	0
TRP-TGG1-1	100189286	11	11	-	-	-	-	-
TRP-TGG2-1	100189224	3	3	-	-	-	-	-
TRP-TGG3-1	7219	32	32	-	-	189912	12	0
TRP-TGG3-2	100189088	11	11	-	-	-	-	-
TRP-TGG3-3	100189335	10	10	-	-	-	1	0
TRP-TGG3-4	100189388	10	10	-	-	-	1	0
TRP-TGG3-5	100189281	10	10	-	-	-	1	0
TRPA1	8989	173	155	141	1	604775	76	3
TRPC1	7220	44	44	26	-	602343	28	0
TRPC3	7222	189	175	162	2	602345	82	3
TRPC4	7223	87	87	34	3	603651	36	0
TRPC4AP	26133	55	55	41	1	608430	40	0
TRPC5	7224	253	234	83	1	300334	30	4
TRPC5OS	100329135	167	161	1	-	-	5	0
TRPC6	7225	590	427	557	28	603652	186	13
TRPC7	57113	47	46	27	-	-	31	0
TRPC7-AS1	100874024	7	7	-	-	-	1	0
TRPC7-AS2	106478968	22	22	-	-	-	15	0
TRPM1	4308	1836	1510	1596	105	603576	649	57
TRPM2	7226	324	306	217	2	603749	132	0
TRPM2-AS	101928607	58	53	-	-	-	8	0
TRPM3	80036	287	257	218	10	608961	150	1
TRPM4	54795	2743	1680	2722	6	606936	942	91
TRPM5	29850	157	155	121	-	604600	106	0
TRPM6	140803	813	640	767	41	607009	266	27
TRPM7	54822	182	168	148	4	605692	96	1
TRPM8	79054	112	111	67	-	606678	60	0
TRPS1	7227	796	659	737	155	604386	222	19
TRPS1-AS1	125177374	27	27	1	-	-	1	0
TRPT1	83707	27	26	16	-	610470	16	0
TRPV1	7442	178	169	79	28	602076	80	1
TRPV2	51393	78	78	34	1	606676	48	0
TRPV3	162514	566	449	498	14	607066	177	10
TRPV4	59341	2763	1142	2753	70	605427	530	78
TRPV5	56302	102	102	53	1	606679	46	0
TRPV6	55503	228	192	179	13	606680	72	1
TRQ-CTG1-1	100189287	2	2	-	-	-	-	-
TRQ-CTG1-2	100189189	3	3	-	-	-	1	0
TRQ-CTG1-3	100189121	3	3	-	-	-	1	0
TRQ-CTG1-4	100189317	2	2	-	-	-	-	-
TRQ-CTG1-5	7228	38	35	-	-	189919	14	0
TRQ-CTG14-1	100189523	22	22	-	-	-	4	0
TRQ-CTG2-1	100189268	3	3	-	-	-	1	0
TRQ-CTG3-1	107985755	42	40	-	-	-	2	0
TRQ-CTG3-2	100189140	128	118	-	-	-	1	0
TRQ-CTG4-1	100189056	121	111	-	-	-	1	0
TRQ-CTG4-2	100189261	17	17	-	-	-	-	-
TRQ-CTG5-1	100189329	3	3	-	-	-	1	0
TRQ-CTG6-1	100189214	3	3	-	-	-	1	0
TRQ-CTG7-1	100188998	115	105	-	-	-	1	0
TRQ-TTG1-1	7229	14	14	-	-	189923	4	0
TRQ-TTG2-1	100189138	3	3	-	-	-	1	0
TRQ-TTG3-1	100189321	3	3	-	-	-	1	0
TRQ-TTG3-2	100189185	3	3	-	-	-	1	0
TRQ-TTG3-3	100189074	3	3	-	-	-	1	0
TRQ-TTG4-1	100189422	5	5	-	-	-	1	0
TRR-ACG1-1	100189396	3	3	-	-	-	1	0
TRR-ACG1-2	7231	3	3	-	-	615305	1	0
TRR-ACG1-3	100189243	9	9	-	-	-	1	0
TRR-ACG2-2	100189167	3	3	-	-	-	1	0
TRR-ACG2-3	100189099	3	3	-	-	-	1	0
TRR-ACG2-4	100189428	5	5	-	-	-	1	0
TRR-CCG1-1	100189365	3	3	-	-	-	-	-
TRR-CCG1-2	100189084	3	3	-	-	-	1	0
TRR-CCG1-3	100189173	10	10	-	-	-	1	0
TRR-CCG2-1	7233	7	7	-	-	-	-	-
TRR-CCT1-1	100189078	3	3	-	-	-	-	-
TRR-CCT2-1	100189181	3	3	-	-	-	-	-
TRR-CCT3-1	100189168	10	10	-	-	-	1	0
TRR-CCT4-1	100189406	19	19	-	-	-	1	0
TRR-CCT5-1	100189270	10	10	-	-	-	1	0
TRR-TCG1-1	100189264	9	9	-	-	-	-	-
TRR-TCG2-1	100189410	3	3	-	-	-	1	0
TRR-TCG3-1	100189371	3	3	-	-	-	-	-
TRR-TCG4-1	7232	14	14	-	-	601432	9	0
TRR-TCG5-1	100189034	3	3	-	-	-	1	0
TRR-TCG6-1	100189025	17	17	-	-	-	-	-
TRR-TCT1-1	100189133	1	1	-	-	-	-	-
TRR-TCT2-1	7230	38	35	-	-	610406	14	0
TRR-TCT3-1	100189109	19	18	-	-	-	-	-
TRR-TCT4-1	100189166	2	2	-	-	-	-	-
TRR-TCT5-1	100189012	4	4	-	-	-	1	0
TRRAP	8295	1971	1703	1951	23	603015	661	43
TRS-AGA1-1	100189352	3	3	-	-	-	1	0
TRS-AGA2-1	100189382	3	3	-	-	-	1	0
TRS-AGA2-2	100189077	3	3	-	-	-	1	0
TRS-AGA2-3	23437	5	5	-	-	189910	1	0
TRS-AGA2-4	100189247	3	3	-	-	-	1	0
TRS-AGA2-5	100189248	18	18	-	-	-	-	-
TRS-AGA2-6	100189184	19	17	-	-	-	10	0
TRS-AGA3-1	790951	3	3	-	-	-	1	0
TRS-AGA4-1	100189070	4	4	-	-	-	1	0
TRS-AGA5-1	100189432	29	29	-	-	-	-	-
TRS-CGA1-1	100189037	10	8	-	-	-	1	0
TRS-CGA2-1	100189041	3	3	-	-	-	1	0
TRS-CGA3-1	100189205	5	5	-	-	-	1	0
TRS-CGA4-1	100189152	3	3	-	-	-	1	0
TRS-GCT1-1	100189157	3	3	-	-	-	1	0
TRS-GCT2-1	100189002	3	3	-	-	-	1	0
TRS-GCT3-1	100189285	2	2	-	-	-	-	-
TRS-GCT4-1	100189225	3	3	-	-	-	1	0
TRS-GCT4-2	100189229	1	1	-	-	-	1	0
TRS-GCT4-3	100189331	10	8	-	-	-	1	0
TRS-GCT5-1	100189159	3	3	-	-	-	1	0
TRS-GCT6-1	100189218	3	3	-	-	-	1	0
TRS-TGA1-1	100189279	6	6	-	-	-	-	-
TRS-TGA2-1	94017	5	5	-	-	606171	1	0
TRS-TGA3-1	100189430	3	3	-	-	-	1	0
TRS-TGA4-1	23540	5	5	-	-	606172	1	0
TRSUP-TTA1-1	100189080	5	5	-	-	-	-	-
TRT-AGT1-1	100189187	10	8	-	-	-	1	0
TRT-AGT1-2	100189222	17	15	-	-	-	8	0
TRT-AGT1-3	100189006	6	6	-	-	-	1	0
TRT-AGT2-1	100189319	3	3	-	-	-	1	0
TRT-AGT2-2	100189340	5	5	-	-	615309	1	0
TRT-AGT3-1	100189433	4	4	-	-	-	1	0
TRT-AGT4-1	100189374	4	4	-	-	-	1	0
TRT-AGT5-1	100189438	10	8	-	-	-	1	0
TRT-AGT6-1	100189143	3	3	-	-	-	1	0
TRT-CGT1-1	100189035	3	3	-	-	-	1	0
TRT-CGT2-1	100189086	5	5	-	-	-	-	-
TRT-CGT3-1	100189360	3	3	-	-	-	1	0
TRT-CGT4-1	100189245	16	16	-	-	-	3	0
TRT-CGT5-1	100189300	4	4	-	-	-	1	0
TRT-TGT1-1	100189344	3	3	-	-	-	1	0
TRT-TGT2-1	100189378	10	10	-	-	-	1	0
TRT-TGT3-1	7237	26	26	-	-	189933	2	0
TRT-TGT4-1	100189419	11	11	-	-	-	-	-
TRT-TGT5-1	100189263	11	11	-	-	-	-	-
TRT-TGT6-1	7236	32	32	-	-	189913	12	0
TRU-TCA1-1	7234	13	12	2	1	165060	4	0
TRU-TCA2-1	7235	23	22	-	-	-	1	0
TRUB1	142940	44	44	13	-	610726	14	0
TRUB2	26995	70	68	32	-	610727	30	0
TRV-AAC1-1	100189318	13	13	-	-	615310	1	0
TRV-AAC1-2	100188990	11	11	-	-	-	3	0
TRV-AAC1-3	7241	11	11	-	-	-	3	0
TRV-AAC1-4	7239	32	32	-	-	189921	12	0
TRV-AAC1-5	791230	3	3	-	-	-	1	0
TRV-AAC2-1	100188992	10	10	-	-	-	3	0
TRV-AAC3-1	791231	4	4	-	-	-	1	0
TRV-AAC4-1	100189161	5	5	-	-	615308	1	0
TRV-AAC5-1	100189014	3	3	-	-	615307	1	0
TRV-AAC6-1	100189178	3	3	-	-	-	-	-
TRV-CAC1-1	100189373	3	3	-	-	-	-	-
TRV-CAC1-2	7240	33	33	-	-	612995	12	0
TRV-CAC1-3	791232	10	10	-	-	-	2	0
TRV-CAC1-4	100189541	11	11	-	-	-	3	0
TRV-CAC1-5	100049614	10	10	-	-	-	3	0
TRV-CAC1-6	100189227	3	3	-	-	615306	1	0
TRV-CAC2-1	100189363	3	3	-	-	-	1	0
TRV-CAC3-1	100189416	7	7	-	-	615304	1	0
TRV-CAC4-1	100189326	9	9	-	-	-	-	-
TRV-CAC5-1	107985749	1	1	-	-	-	-	-
TRV-CAC6-1	100189368	3	3	-	-	-	1	0
TRV-CAC7-1	100189101	4	4	-	-	-	1	0
TRV-CAC8-1	100189142	9	9	-	-	-	-	-
TRV-CAC9-1	100189196	3	3	-	-	-	1	0
TRV-TAC1-2	100189191	87	83	-	-	-	3	0
TRV-TAC3-1	100189342	15	15	-	-	-	1	0
TRV-TAC4-1	100189408	3	3	-	-	-	1	0
TRW-CCA1-1	100189123	10	8	-	-	-	1	0
TRW-CCA2-1	100189203	53	53	-	-	-	2	0
TRW-CCA3-1	100189436	3	3	-	-	-	1	0
TRW-CCA3-2	100189048	3	3	-	-	-	1	0
TRW-CCA3-3	100189112	10	8	-	-	-	1	0
TRW-CCA4-1	100189171	3	3	-	-	-	-	-
TRW-CCA5-1	100189190	7	7	-	-	-	-	-
TRX-CAT1-1	100189015	3	3	-	-	-	1	0
TRX-CAT1-2	7210	15	15	-	-	180621	10	0
TRX-CAT1-3	100189094	3	3	-	-	-	1	0
TRX-CAT1-4	100189040	3	3	-	-	-	1	0
TRX-CAT1-5	100189345	3	3	-	-	-	1	0
TRX-CAT1-6	100189297	4	4	-	-	-	1	0
TRX-CAT1-7	100189315	3	3	-	-	-	1	0
TRX-CAT1-8	100189255	12	12	-	-	-	4	0
TRX-CAT2-1	7212	7	7	-	-	180620	2	0
TRY-ATA1-1	100189253	7	7	-	-	-	-	-
TRY-GTA1-1	100189272	3	3	-	-	-	1	0
TRY-GTA2-1	100189022	8	8	-	-	-	2	0
TRY-GTA3-1	100189162	3	3	-	-	-	1	0
TRY-GTA4-1	100189405	11	11	-	-	-	-	-
TRY-GTA5-1	100189437	12	12	-	-	-	-	-
TRY-GTA5-2	100189102	12	12	-	-	-	-	-
TRY-GTA5-3	100189424	11	11	-	-	-	-	-
TRY-GTA5-4	100009602	11	11	-	-	-	-	-
TRY-GTA5-5	100189001	11	11	-	-	-	-	-
TRY-GTA6-1	100189219	3	3	-	-	-	1	0
TRY-GTA7-1	100009601	11	11	-	-	-	-	-
TRY-GTA8-1	100189337	3	3	-	-	-	1	0
TSACC	128229	31	27	6	-	619679	12	0
TSBP1	10665	12	12	2	-	618151	7	0
TSBP1-AS1	101929163	29	28	-	-	-	21	0
TSC1	7248	9541	4788	9500	655	605284	1938	427
TSC2	7249	22949	10795	22862	1287	191092	3809	1193
TSC22D1	8848	63	63	14	-	607715	11	0
TSC22D1-AS1	641467	27	27	-	-	-	-	-
TSC22D2	9819	66	66	47	-	617724	46	0
TSC22D3	1831	178	172	9	-	300506	14	0
TSC22D4	81628	48	48	23	-	611914	24	0
TSC22D4-C7ORF61	122198330	36	36	-	-	-	26	0
TSEN15	116461	76	68	48	2	608756	19	0
TSEN2	80746	440	305	409	14	608753	124	19
TSEN34	79042	251	189	230	2	608754	86	8
TSEN54	283989	1047	650	1024	75	608755	211	27
TSFM	10102	701	543	666	75	604723	166	17
TSG1	643432	5	5	-	1	-	-	-
TSG101	7251	36	36	16	1	601387	22	0
TSGA10	80705	82	77	55	1	607166	46	0
TSGA10IP	254187	65	63	50	-	-	47	0
TSGA13	114960	46	46	16	-	-	23	0
TSHB	7252	96	72	84	11	188540	13	1
TSHR	7253	823	530	798	91	603372	88	46
TSHZ1	10194	317	289	164	3	614427	99	3
TSHZ2	128553	87	87	74	3	614118	74	0
TSHZ3	57616	120	111	99	-	614119	68	0
TSIX	9383	144	138	8	-	300181	5	0
TSKS	60385	57	57	44	-	608253	45	0
TSKU	25987	44	44	35	-	608015	32	0
TSKU-AS1	101928837	3	3	-	-	-	-	-
TSL	790953	5	5	-	-	-	-	-
TSLP	85480	49	48	9	1	607003	22	0
TSN	7247	29	29	5	-	600575	7	0
TSNARE1	203062	124	124	64	1	-	60	0
TSNAX	7257	55	53	13	1	602964	12	0
TSNAX-DISC1	100303453	155	142	-	2	-	55	0
TSNAXIP1	55815	83	83	52	-	607720	57	0
TSPAN1	10103	1959	1145	13	187	613170	363	0
TSPAN10	83882	43	43	21	-	-	21	0
TSPAN11	441631	42	42	13	-	-	11	0
TSPAN12	23554	324	276	299	41	613138	126	8
TSPAN13	27075	52	52	7	-	613139	16	0
TSPAN14	81619	45	45	10	-	-	11	0
TSPAN14-AS1	101929574	12	12	-	-	-	-	-
TSPAN15	23555	32	32	17	-	613140	18	0
TSPAN16	26526	31	28	11	-	617580	16	0
TSPAN17	26262	65	62	8	-	620446	14	0
TSPAN18	90139	45	45	25	2	619399	23	0
TSPAN19	144448	26	26	12	-	-	15	0
TSPAN2	10100	21	21	11	-	613133	10	0
TSPAN3	10099	30	29	9	-	613134	12	0
TSPAN31	6302	678	407	8	-	181035	215	0
TSPAN32	10077	71	71	34	-	603853	41	0
TSPAN33	340348	34	34	9	-	610120	10	0
TSPAN4	7106	52	51	14	-	602644	24	0
TSPAN5	10098	29	29	8	-	613136	12	0
TSPAN5-DT	105377342	5	5	-	-	-	1	0
TSPAN6	7105	183	176	9	-	300191	16	0
TSPAN7	7102	247	226	48	6	300096	59	2
TSPAN8	7103	30	30	18	-	600769	14	0
TSPAN9	10867	85	85	16	2	613137	25	0
TSPAN9-IT1	100874356	22	22	-	-	-	2	0
TSPEAR	54084	1237	943	754	55	612920	485	33
TSPEAR-AS1	54082	131	93	-	7	-	22	0
TSPEAR-AS2	114043	48	43	-	-	-	3	0
TSPO	706	59	58	9	-	109610	13	0
TSPO2	222642	12	12	6	-	619409	4	0
TSPOAP1	9256	70	65	54	4	610764	22	0
TSPOAP1-AS1	100506779	13	13	-	1	-	7	0
TSPY1	7258	62	62	1	-	480100	5	0
TSPY10	100289087	60	60	-	-	-	5	0
TSPY2	64591	61	61	-	-	-	3	0
TSPY3	728137	63	63	-	-	-	5	0
TSPY4	728395	61	61	-	-	-	5	0
TSPY8	728403	60	60	-	-	-	5	0
TSPY9	728132	22	22	-	-	-	-	-
TSPYL1	7259	94	79	67	3	604714	29	0
TSPYL2	64061	201	193	57	1	300564	48	1
TSPYL4	23270	59	59	31	-	619586	31	0
TSPYL5	85453	56	56	21	1	614721	20	0
TSPYL6	388951	60	60	43	-	-	29	0
TSR1	55720	136	135	59	-	611214	69	0
TSR2	90121	283	237	55	7	300945	60	1
TSR3	115939	89	85	28	1	617058	35	0
TSSC4	10078	70	70	34	-	603852	39	0
TSSK1B	83942	63	62	29	-	610709	35	0
TSSK2	23617	433	411	29	-	610710	48	0
TSSK3	81629	38	38	27	-	607660	30	0
TSSK4	283629	36	35	12	-	610711	14	0
TSSK6	83983	18	18	7	-	610712	9	0
TST	7263	51	47	25	-	180370	27	0
TSTD1	100131187	32	30	11	-	616041	20	0
TSTD2	158427	72	71	34	-	-	36	0
TSTD3	100130890	110	106	2	5	-	61	0
TTBK1	84630	117	115	106	1	619415	84	0
TTBK2	146057	580	409	556	12	611695	219	23
TTBK2-AS1	121676926	1	1	-	-	-	-	-
TTC1	7265	37	37	18	1	601963	17	0
TTC12	54970	111	103	95	5	610732	36	1
TTC12-DT	124902814	2	2	-	-	-	-	-
TTC13	79573	89	86	39	-	-	48	0
TTC14	151613	364	260	56	19	-	103	2
TTC14-DT	101928856	13	13	-	-	-	-	-
TTC16	158248	115	113	73	1	-	65	0
TTC17	55761	71	71	56	-	619388	56	0
TTC19	54902	492	370	430	24	613814	162	26
TTC21A	199223	115	111	108	6	611430	69	0
TTC21B	79809	2125	1302	2040	119	612014	548	72
TTC21B-AS1	100506134	259	150	-	11	-	52	0
TTC22	55001	46	46	29	-	-	30	0
